   Process Name ( PID),     Weight,    Usage %,          Module Name
           Idle (   0),       5000,       0.00,            "Unknown"
           Idle (   0),   12147023,       1.62,         ntoskrnl.exe
           Idle (   0),       1000,       0.00,           volmgr.sys
           Idle (   0),       2000,       0.00,         intelpep.sys
           Idle (   0),       8000,       0.00,         storport.sys
           Idle (   0),       6033,       0.00,             ACPI.sys
           Idle (   0),       2000,       0.00,         stornvme.sys
           Idle (   0),       1000,       0.00,      EhStorClass.sys
           Idle (   0),       2000,       0.00,          partmgr.sys
           Idle (   0),      35000,       0.00,          dxgkrnl.sys
           Idle (   0),      98068,       0.01,         Wdf01000.sys
           Idle (   0),      19824,       0.00,      WppRecorder.sys
           Idle (   0),       1000,       0.00,           FLTMGR.SYS
           Idle (   0),       3000,       0.00,         watchdog.sys
           Idle (   0),      10000,       0.00,         CLASSPNP.SYS
           Idle (   0),       1000,       0.00,             Ntfs.sys
           Idle (   0),       1000,       0.00,              Wof.sys
           Idle (   0),       3967,       0.00,          wfplwfs.sys
           Idle (   0),      20000,       0.00,             ndis.sys
           Idle (   0),      23070,       0.00,            NETIO.SYS
           Idle (   0),      50059,       0.01,            tcpip.sys
           Idle (   0),       3000,       0.00,          volsnap.sys
           Idle (   0),       3000,       0.00,              afd.sys
           Idle (   0),      98110,       0.01,          USBXHCI.SYS
           Idle (   0),       4000,       0.00,               ks.sys
           Idle (   0),       8054,       0.00,         ucx01000.sys
           Idle (   0),       6810,       0.00,         HDAudBus.sys
           Idle (   0),    1041496,       0.14,         nvlddmkm.sys
           Idle (   0),       1000,       0.00,         usbaudio.sys
           Idle (   0),       4000,       0.00,           ibtusb.sys
           Idle (   0),       4068,       0.00,           BTHUSB.sys
           Idle (   0),       1000,       0.00,         kbdclass.sys
           Idle (   0),       7000,       0.00,          UsbHub3.sys
           Idle (   0),       8069,       0.00,          usbccgp.sys
           Idle (   0),       6000,       0.00,           mouhid.sys
           Idle (   0),       5000,       0.00,         mouclass.sys
           Idle (   0),      14000,       0.00,          BTHport.sys
           Idle (   0),      22019,       0.00,         HIDCLASS.SYS
           Idle (   0),       5000,       0.00,           hidusb.sys
           Idle (   0),      11000,       0.00,         HIDPARSE.SYS
