utc,pid,cpu_sec,ws_mb,threads,priv_mb
2026-09-13T10:52:48.6163231Z,19912,17792.0625,5892,105,7473.7
2026-09-13T10:52:49.6603041Z,19912,17797.65625,5892,105,7473.7
2026-09-13T10:52:50.6816064Z,19912,17800.84375,5892.1,107,7475.8
2026-09-13T10:52:51.6936078Z,19912,17805.046875,5892.1,107,7475.8
2026-09-13T10:52:52.7071782Z,19912,17808.40625,5894.3,109,7476
2026-09-13T10:52:53.7165749Z,19912,17812.265625,5894.3,109,7479
2026-09-13T10:52:54.7283585Z,19912,17815.0625,5894.3,109,7479
2026-09-13T10:52:55.7388456Z,19912,17818.78125,5894.3,109,7479
2026-09-13T10:52:56.7528549Z,19912,17823.875,5894.3,109,7465.9
2026-09-13T10:52:57.7634806Z,19912,17827.390625,5894.2,107,7463.9
2026-09-13T10:52:58.7781656Z,19912,17831.390625,5894.2,107,7477.4
2026-09-13T10:52:59.7924161Z,19912,17834.78125,5894.2,107,7477.4
2026-09-13T10:53:00.8068980Z,19912,17839.1875,5894.2,107,7477.4
2026-09-13T10:53:01.8125786Z,19912,17843.53125,5894.2,107,7477.4
2026-09-13T10:53:02.8199303Z,19912,17847.359375,5894.2,107,7477.4
2026-09-13T10:53:03.8567364Z,19912,17851.25,5894.1,106,7476.3
2026-09-13T10:53:04.8762475Z,19912,17854.515625,5894.1,106,7476.3
2026-09-13T10:53:05.8882357Z,19912,17858.265625,5894.1,106,7476.3
2026-09-13T10:53:06.8982019Z,19912,17862.640625,5894.1,106,7473.3
2026-09-13T10:53:07.9082086Z,19912,17866.359375,5897.4,106,7480.5
2026-09-13T10:53:08.9185762Z,19912,17869.875,5897.4,106,7480.5
2026-09-13T10:53:09.9279344Z,19912,17873.984375,5897.4,106,7480.5
2026-09-13T10:53:10.9419232Z,19912,17878.6875,5897.4,106,7480.5
2026-09-13T10:53:11.9538654Z,19912,17881.6875,5897.4,106,7479.5
2026-09-13T10:53:12.9656335Z,19912,17885.390625,5897.4,106,7479.5
