Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,28.5387,9.3553,9.2185,0.1368,28.4337,15.0507,15.0507,0.0000,47.4880,6.9341,NA,28.5387,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,37.8940,17.6792,17.4553,0.2239,34.1291,3.5962,3.5002,0.0960,45.0668,6.9518,2.4212,37.8940,NA,41.9095,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,55.5732,23.4272,23.1574,0.2698,22.1759,11.7121,11.6154,0.0967,34.3394,27.7808,10.7274,55.5732,NA,11.8403,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,79.0004,12.6944,12.5215,0.1729,10.5196,26.4031,26.4031,0.0000,38.6930,13.8983,-4.3536,79.0004,NA,30.6392,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,91.6948,10.0775,9.9169,0.1606,24.2283,15.3940,15.3419,0.0521,39.8969,6.9571,-1.2039,91.6948,NA,30.5438,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,101.7723,10.8464,10.7182,0.1282,29.5448,4.1717,4.0866,0.0851,36.7765,13.9012,3.1204,101.7723,NA,36.4983,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,112.6187,21.8725,21.5829,0.2896,22.8701,15.3386,15.3023,0.0363,39.8313,27.8303,-3.0548,112.6187,NA,19.3896,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,134.4912,15.5462,15.3594,0.1868,16.3362,23.0972,23.0438,0.0534,45.7891,6.9246,-5.9578,134.4912,NA,34.1801,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,150.0374,9.2021,9.0296,0.1725,23.9624,0.5988,0.5868,0.0120,37.1675,6.9636,8.6216,150.0374,NA,29.1468,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,159.2395,13.6312,13.4255,0.2057,15.3591,15.8664,15.8116,0.0548,34.9290,27.8047,2.2385,159.2395,NA,35.1242,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,172.8707,23.2639,22.9755,0.2884,21.5475,25.4141,25.3803,0.0338,49.1025,13.9443,-14.1735,172.8707,NA,29.9131,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,196.1346,11.2188,11.0259,0.1929,23.6977,14.2458,14.2154,0.0304,39.7829,6.9044,9.3196,196.1346,NA,29.8591,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,207.3534,12.9269,12.7311,0.1958,26.7247,0.8496,0.8207,0.0289,35.4685,6.9748,4.3144,207.3534,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,220.2803,15.9006,15.6653,0.2353,14.6634,14.3639,14.3639,0.0000,29.5164,27.7630,5.9521,220.2803,NA,27.7542,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,236.1809,16.7544,16.5076,0.2468,13.1267,26.7559,26.7559,0.0000,41.3788,13.9134,-11.8624,236.1809,NA,29.5079,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,252.9353,11.4835,11.2358,0.2477,23.1282,15.2507,15.2507,0.0000,38.5378,13.9504,2.8410,252.9353,NA,29.4184,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,264.4188,7.5104,7.3758,0.1346,26.9792,12.6509,12.6509,0.0000,41.0047,6.9038,-2.4669,264.4188,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,271.9292,21.4697,21.2204,0.2493,32.1197,3.8185,3.7729,0.0456,40.3981,27.8001,0.6066,271.9292,NA,20.2501,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,293.3989,16.4170,16.2244,0.1926,14.8010,25.0312,24.9878,0.0434,46.7285,6.9728,-6.3304,293.3989,NA,33.9703,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,309.8159,9.8438,9.6400,0.2038,23.4152,13.0828,13.0562,0.0266,37.2843,6.9422,9.4442,309.8159,NA,30.0214,NA
