method,calls,total_ms,avg_ms,max_ms,pct_of_sampled
ZNet.Update,3891,10023.397,2.576046,9770.681,35.16
Minimap.Update,3891,8318.783,2.137955,8257.108,29.18
ZSyncTransform.CustomFixedUpdate,148415,1601.499,0.010791,2.792,5.62
FejdStartup.Update,2027,1280.012,0.631481,115.640,4.49
ZNetScene.Update,3891,1031.459,0.265089,84.471,3.62
ZNetScene.CreateDestroyObjects,926,1024.688,1.106574,84.467,3.59
WaterVolume.UpdateFloaters,32662,731.821,0.022406,0.569,2.57
Heightmap.Regenerate,84,661.684,7.877190,33.007,2.32
ClutterSystem.LateUpdate,5918,482.478,0.081527,36.739,1.69
ClutterSystem.UpdateGrass,5768,410.086,0.071097,35.791,1.44
CharacterAnimEvent.CustomLateUpdate,34659,306.582,0.008846,3.060,1.08
Fish.CustomFixedUpdate,64218,222.413,0.003463,4.481,0.78
Heightmap.CustomLateUpdate,85924,221.900,0.002583,8.909,0.78
VisEquipment.CustomUpdate,5239,165.543,0.031598,3.100,0.58
ZoneSystem.Update,3892,161.605,0.041522,8.305,0.57
VisEquipment.UpdateEquipmentVisuals,5244,158.476,0.030220,97.727,0.56
Humanoid.CustomFixedUpdate,16507,157.284,0.009528,8.305,0.55
Character.CustomFixedUpdate,17638,150.777,0.008548,7.534,0.53
GameCamera.LateUpdate,3891,110.333,0.028356,5.837,0.39
EnvMan.FixedUpdate,1757,81.788,0.046550,6.326,0.29
Heightmap.LateUpdate,85924,76.824,0.000894,4.788,0.27
AudioMan.Update,5918,76.016,0.012845,5.060,0.27
Smoke.CustomUpdate,25416,72.254,0.002843,3.072,0.25
GameCamera.UpdateCamera,3891,67.173,0.017264,4.951,0.24
Hud.Update,3891,65.528,0.016841,5.404,0.23
ZSyncAnimation.CustomFixedUpdate,26173,59.584,0.002277,0.063,0.21
Player.Update,5237,57.103,0.010904,3.567,0.20
Player.FixedUpdate,3507,56.994,0.016252,12.793,0.20
MusicMan.Update,5918,55.585,0.009393,3.024,0.19
StaticPhysics.SUpdate,86809,49.918,0.000575,0.237,0.18
AudioMan.FixedUpdate,3485,39.411,0.011309,0.462,0.14
CharacterAnimEvent.CustomFixedUpdate,19366,36.331,0.001876,0.868,0.13
Player.UpdateStats,1294,36.165,0.027948,4.840,0.13
Character.UpdateGroundTilt,17638,35.678,0.002023,3.062,0.13
EffectArea.CustomFixedUpdate,44905,33.888,0.000755,0.207,0.12
WaterVolume.StaticUpdate,4289,31.299,0.007298,3.036,0.11
FootStep.CustomUpdate,27824,31.240,0.001123,3.044,0.11
ZDOMan.Update,3891,28.634,0.007359,7.742,0.10
SmokeSpawner.CustomUpdate,15304,24.805,0.001621,4.655,0.09
CharacterAnimEvent.UpdateFootIK,2216,23.681,0.010686,1.010,0.08
Character.UpdateMotion,513,23.001,0.044836,4.203,0.08
InventoryGui.Update,3891,22.818,0.005864,0.469,0.08
WearNTear.UpdateWear,10869,21.530,0.001981,0.400,0.08
EnvMan.Update,3891,19.927,0.005121,4.666,0.07
ParticleMist.Update,3891,17.812,0.004578,3.055,0.06
Character.UpdateWalking,513,17.758,0.034616,3.198,0.06
Ship.CustomFixedUpdate,1500,15.126,0.010084,1.920,0.05
MonsterAI.UpdateAI,5191,14.350,0.002764,4.320,0.05
Minimap.UpdateMap,782,13.222,0.016908,1.555,0.05
RandomFlyingBird.CustomFixedUpdate,8535,12.854,0.001506,0.160,0.05
CraftingStation.CustomUpdate,12645,11.923,0.000943,0.027,0.04
Chat.Update,3891,10.333,0.002656,0.268,0.04
MessageHud.Update,3891,10.316,0.002651,1.286,0.04
BaseAI.UpdateAI,6332,9.707,0.001533,4.316,0.03
TerrainComp.Update,8436,6.611,0.000784,0.144,0.02
Tameable.Update,5495,5.827,0.001060,0.394,0.02
Fireplace.UpdateState,112,4.928,0.043998,1.319,0.02
AnimalAI.UpdateAI,1141,2.150,0.001884,0.038,0.01
Smelter.UpdateSmelter,105,1.804,0.017185,0.746,0.01
Player.UpdatePlacementGhost,782,1.591,0.002035,0.014,0.01
SEMan.Update,513,1.451,0.002829,0.309,0.01
ClutterSystem.Awake,4,0.663,0.165650,0.566,0.00
SpawnSystem.UpdateSpawning,96,0.123,0.001277,0.006,0.00
MonsterAI.UpdateTarget,0,0.000,0.000000,0.000,0.00
Character.UpdateSwimming,0,0.000,0.000000,0.000,0.00
WearNTear.UpdateSupport,0,0.000,0.000000,0.000,0.00
ShieldGenerator.Update,0,0.000,0.000000,0.000,0.00
