Start Time,   End Time, Process,            DataPtr,     Process Name ( PID),  ParentPID,  SessionID,          UniqueKey
       MIN,        MAX, Process, 0X000001CBC1735308,             Idle (   0),          0,         -1, 0x0000f802d49cff00
       MIN,        MAX, Process, 0X000001CBBFF31268,           System (   4),          0,         -1, 0x0000a289ba6c2040
       MIN,        MAX, Process, 0X000001CBC175FB38,    Secure System ( 236),          4,         -1, 0x0000a289ba9cc040
       MIN,        MAX, Process, 0X000001CBC17424D8,         Registry ( 280),          4,         -1, 0x0000a289ba9f3040
       MIN,        MAX, Process, 0X000001CBC17426F8,         smss.exe ( 948),          4,         -1, 0x0000a289c39dd040
       MIN,        MAX, Process, 0X000001CBC17E6618,          dwm.exe (1236),       1508,          1, 0x0000a289cc6dd080
       MIN,        MAX, Process, 0X000001CBC176B298,        csrss.exe (1320),       1304,          0, 0x0000a289ca043140
       MIN,        MAX, Process, 0X000001CBC17E6A58,      svchost.exe (1396),       1532,          0, 0x0000a289cc7bc080
       MIN,        MAX, Process, 0X000001CBC174CA98,      wininit.exe (1404),       1304,          0, 0x0000a289cc33e0c0
       MIN,        MAX, Process, 0X000001CBC1783798,        csrss.exe (1412),       1396,          1, 0x0000a289cc340140
       MIN,        MAX, Process, 0X000001CBC178EBF8,     winlogon.exe (1508),       1396,          1, 0x0000a289cc417080
       MIN,        MAX, Process, 0X000001CBC179B9D8,     services.exe (1532),       1404,          0, 0x0000a289cc421080
       MIN,        MAX, Process, 0X000001CBC17A2228,       LsaIso.exe (1584),       1404,          0, 0x0000a289cc4690c0
       MIN,        MAX, Process, 0X000001CBC17A2448,        lsass.exe (1592),       1404,          0, 0x0000a289cc366140
       MIN,        MAX, Process, 0X000001CBC2ABE578,      svchost.exe (1640),       1532,          0, 0x0000a289ca5d1080
       MIN,        MAX, Process, 0X000001CBC17B36B8,      svchost.exe (1748),       1532,          0, 0x0000a289cc52b080
       MIN,        MAX, Process, 0X000001CBC17B38D8,  fontdrvhost.exe (1780),       1404,          0, 0x0000a289cc539080
       MIN,        MAX, Process, 0X000001CBC17CE088,  fontdrvhost.exe (1788),       1508,          1, 0x0000a289ca4f30c0
       MIN,        MAX, Process, 0X000001CBC17D0808,     WUDFHost.exe (1864),       1532,          0, 0x0000a289cc3db0c0
       MIN,        MAX, Process, 0X000001CBC17D0E98,      svchost.exe (1912),       1532,          0, 0x0000a289cc6020c0
       MIN,        MAX, Process, 0X000001CBC17E5958,      svchost.exe (1964),       1532,          0, 0x0000a289cc675080
       MIN,        MAX, Process, 0X000001CBC17E61D8,      svchost.exe (2072),       1532,          0, 0x0000a289ca2a7080
       MIN,        MAX, Process, 0X000001CBC3063088,      Screeni.exe (2088),       9736,          1, 0x0000a289d4b5b080
       MIN,        MAX, Process, 0X000001CBC17E70B8,      svchost.exe (2092),       1532,          0, 0x0000a289c3ca8080
       MIN,        MAX, Process, 0X000001CBC2ABFCD8,      svchost.exe (2100),       1532,          0, 0x0000a289cd3e8080
       MIN,        MAX, Process, 0X000001CBC17E6838,      svchost.exe (2108),       1532,          0, 0x0000a289cc7bb080
       MIN,        MAX, Process, 0X000001CBC17E6C78,      svchost.exe (2116),       1532,          0, 0x0000a289c3cb7080
       MIN,        MAX, Process, 0X000001CBC17E63F8,      svchost.exe (2136),       1532,          0, 0x0000a289cc66d080
       MIN,        MAX, Process, 0X000001CBC2E58388,      svchost.exe (2280),       1532,          0, 0x0000a289dad2d080
       MIN,        MAX, Process, 0X000001CBC2ABDAD8,      svchost.exe (2316),       1532,          0, 0x0000a289ccbbc080
       MIN,        MAX, Process, 0X000001CBC17E5FB8,      svchost.exe (2340),       1532,          0, 0x0000a289cc892080
       MIN,        MAX, Process, 0X000001CBC3062E68,  lghub_agent.exe (2420),      18528,          1, 0x0000a289d58340c0
       MIN,        MAX, Process, 0X000001CBC2E563A8,      svchost.exe (2520),       1532,          0, 0x0000a289d034e080
       MIN,        MAX, Process, 0X000001CBC17E6E98,      svchost.exe (2532),       1532,          0, 0x0000a289cc8c0080
       MIN,        MAX, Process, 0X000001CBC17E5D98,      svchost.exe (2540),       1532,          0, 0x0000a289c0ddc080
       MIN,        MAX, Process, 0X000001CBC30601C8, SecurityHealthSystray.exe (2552),       9736,          1, 0x0000a289d541c080
       MIN,        MAX, Process, 0X000001CBC17E72D8,      svchost.exe (2564),       1532,          0, 0x0000a289c3cc4080
       MIN,        MAX, Process, 0X000001CBC17E5738,      svchost.exe (2692),       1532,          0, 0x0000a289cc9be080
       MIN,        MAX, Process, 0X000001CBC17E5B78,      svchost.exe (2752),       1532,          0, 0x0000a289ca4f10c0
       MIN,        MAX, Process, 0X000001CBC2ABD258,      svchost.exe (2860),       1532,          0, 0x0000a289ca5c6080
       MIN,        MAX, Process, 0X000001CBC305F948,          Dia.exe (2972),      14156,          1, 0x0000a289ce6f0080
       MIN,        MAX, Process, 0X000001CBC2ABF018,      svchost.exe (3252),       1532,          0, 0x0000a289ccec10c0
       MIN,        MAX, Process, 0X000001CBC2ABDCF8,      svchost.exe (3320),       1532,          0, 0x0000a289ccfa80c0
       MIN,        MAX, Process, 0X000001CBC2ABC7B8, NVDisplay.Container.exe (3484),       1532,          0, 0x0000a289cd14e080
       MIN,        MAX, Process, 0X000001CBC2ABFAB8,      svchost.exe (3520),       1532,          0, 0x0000a289cd1a3080
       MIN,        MAX, Process, 0X000001CBC2ABC9D8,      svchost.exe (3528),       1532,          0, 0x0000a289cd1a7080
       MIN,        MAX, Process, 0X000001CBC30614E8,          Dia.exe (3544),      14156,          1, 0x0000a289d52e2080
       MIN,        MAX, Process, 0X000001CBC2ABD038,      svchost.exe (3584),       1532,          0, 0x0000a289cd1de080
       MIN,        MAX, Process, 0X000001CBC2ABCE18,      svchost.exe (3592),       1532,          0, 0x0000a289cd3bd080
       MIN,        MAX, Process, 0X000001CBC2ABDF18,      svchost.exe (3596),       1532,          0, 0x0000a289cd2020c0
       MIN,        MAX, Process, 0X000001CBC2ABF238,      svchost.exe (3704),       1532,          0, 0x0000a289cd29b080
       MIN,        MAX, Process, 0X000001CBC2ABEDF8,      svchost.exe (3744),       1532,          0, 0x0000a289cd2ae080
       MIN,        MAX, Process, 0X000001CBC33D26C8,      Spotify.exe (3816),       9736,          1, 0x0000a289e2057080
       MIN,        MAX, Process, 0X000001CBC2ABCBF8,      svchost.exe (3840),       1532,          0, 0x0000a289cd30f080
       MIN,        MAX, Process, 0X000001CBC2ABEBD8,      svchost.exe (3856),       1532,          0, 0x0000a289cd2f5080
       MIN,        MAX, Process, 0X000001CBC2ABC598,      dasHost.exe (3868),       1640,          0, 0x0000a289cd329080
       MIN,        MAX, Process, 0X000001CBC30623C8,       vgtray.exe (3908),       9736,          1, 0x0000a289cfaad080
       MIN,        MAX, Process, 0X000001CBC2ABE358,      svchost.exe (3984),       1532,          0, 0x0000a289cd34f080
       MIN,        MAX, Process, 0X000001CBC2ABF458,      svchost.exe (4028),       1532,          0, 0x0000a289cd34e080
       MIN,        MAX, Process, 0X000001CBC2ABD478,      audiodg.exe (4100),       3984,          0, 0x0000a289cd4ce080
       MIN,        MAX, Process, 0X000001CBC33D3388,     Grok Bot.exe (4208),       7892,          1, 0x0000a289dc463080
   1848832,        MAX, Process, 0X000001CBC352E7A8, SearchFilterHost.exe (4224),      18892,          0, 0x0000a289de06d080
       MIN,        MAX, Process, 0X000001CBC2ABD698,      svchost.exe (4328),       1532,          0, 0x0000a289cd52d080
       MIN,        MAX, Process, 0X000001CBC2ABE138,      svchost.exe (4364),       1532,          0, 0x0000a289cd58f080
       MIN,        MAX, Process, 0X000001CBC2ABD8B8, NVDisplay.Container.exe (4404),       3484,          1, 0x0000a289cd5a4240
       MIN,        MAX, Process, 0X000001CBC2ABE798,      svchost.exe (4412),       1532,          0, 0x0000a289cd594200
